Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
908,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-04-01T09:16:09Z
4,System,IPv4,TCP,LISTEN,192.168.0.116,139,0.0.0.0,0,2026-04-01T09:16:10Z
4348,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-04-01T09:18:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50024,2026-04-01T09:53:19Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50026,2026-04-01T09:53:20Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50028,2026-04-01T09:53:20Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-04-01T09:53:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50023,2026-04-01T09:53:19Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,50008,2026-04-01T09:53:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-04-01T09:53:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-04-01T09:53:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-04-01T09:53:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,50034,2026-04-01T09:53:25Z
2932,CodeMeter.exe,IPv4,TCP,LISTEN,127.0.0.1,22350,0.0.0.0,0,2026-04-01T09:16:20Z
2932,CodeMeter.exe,IPv4,TCP,LISTEN,127.0.0.1,22350,0.0.0.0,0,2026-04-01T09:16:20Z
2668,CmWebAdmin.exe,IPv4,TCP,LISTEN,127.0.0.1,22352,0.0.0.0,0,2026-04-01T09:16:18Z
660,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-04-01T09:16:09Z
508,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-04-01T09:16:09Z
1120,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-04-01T09:16:10Z
1208,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-04-01T09:16:10Z
2368,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-04-01T09:16:11Z
644,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49693,0.0.0.0,0,2026-04-01T09:16:17Z
3136,svchost.exe,IPv4,TCP,ESTAB,192.168.0.116,49795,4.213.25.242,443,2026-04-01T09:21:12Z
5128,SearchUI.exe,IPv4,TCP,CLOSE_WAIT,192.168.0.116,49941,23.1.241.120,443,2026-04-01T09:49:57Z
5128,SearchUI.exe,IPv4,TCP,CLOSE_WAIT,192.168.0.116,49942,23.1.241.120,443,2026-04-01T09:49:57Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50008,127.0.0.1,8001,2026-04-01T09:53:17Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50023,127.0.0.1,8000,2026-04-01T09:53:19Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50024,127.0.0.1,8000,2026-04-01T09:53:19Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50026,127.0.0.1,8000,2026-04-01T09:53:20Z
7408,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50028,127.0.0.1,8000,2026-04-01T09:53:20Z
2240,chrome.exe,IPv4,TCP,ESTAB,127.0.0.1,50034,127.0.0.1,8889,2026-04-01T09:53:25Z
0,,IPv4,TCP,TIME_WAIT,192.168.0.116,50035,216.58.203.10,443,1601-01-01T00:00:00Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-04-01T09:16:13Z
3828,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,7680,0.0.0.0,0,2026-04-01T09:18:17Z
908,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-04-01T09:16:09Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-04-01T09:16:13Z
3828,svchost.exe,IPv6,TCP,LISTEN,::,7680,::,0,2026-04-01T09:18:17Z
2932,CodeMeter.exe,IPv6,TCP,LISTEN,::1,22350,::,0,2026-04-01T09:16:20Z
2932,CodeMeter.exe,IPv6,TCP,ESTAB,::1,22350,::1,49789,2026-04-01T09:20:10Z
660,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-04-01T09:16:09Z
508,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-04-01T09:16:09Z
1120,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-04-01T09:16:10Z
1208,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-04-01T09:16:10Z
2368,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2026-04-01T09:16:11Z
644,services.exe,IPv6,TCP,LISTEN,::,49693,::,0,2026-04-01T09:16:17Z
6964,CodeMeterCC.exe,IPv6,TCP,ESTAB,::1,49789,::1,22350,2026-04-01T09:20:10Z
4,System,IPv4,UDP,,192.168.0.116,137,,0,2026-04-01T09:16:10Z
4,System,IPv4,UDP,,192.168.0.116,138,,0,2026-04-01T09:16:10Z
2800,svchost.exe,IPv4,UDP,,0.0.0.0,500,,0,2026-04-01T09:16:13Z
4408,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-04-01T09:16:35Z
4408,svchost.exe,IPv4,UDP,,192.168.0.116,1900,,0,2026-04-01T09:16:35Z
2800,svchost.exe,IPv4,UDP,,0.0.0.0,4500,,0,2026-04-01T09:16:13Z
4348,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-04-01T09:18:17Z
5376,chrome.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-01T09:43:53Z
1628,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-01T09:16:10Z
1628,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-04-01T09:16:11Z
4408,svchost.exe,IPv4,UDP,,192.168.0.116,49288,,0,2026-04-01T09:16:35Z
